adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lNnnhBxQESk0WbUXNeh24Dx8XA7.jpg,"[53, 18, 80]",767377,hi,धमाका,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",22.246,/KowKEuyWziUtnCYicv6zhzTQIv.jpg,2021-11-19,Dhamaka,False,7.1,71
False,/hdyP0WWMbEr28395dSADp9mlrkm.jpg,"[18, 53]",695958,hi,द गर्ल ऑन द ट्रेन,"When a voyeuristic divorcee fixates on the lives of a perfect couple a far, she soon gets embroiled in a murder mystery that unfolds revealing truths about her own life.",11.735,/6Zvov912Mm0mrjR5nEGbSujjnGE.jpg,2021-02-26,The Girl on the Train,False,5.7,65
False,/8xkPWMyIsxwikJuyMTr08KldKzR.jpg,"[80, 18, 36]",598826,hi,सरदार उधम,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",9.033,/5m0ir7GygfhzBBwFYRWzQ7yY0De.jpg,2021-10-16,Sardar Udham,False,7,49
False,/nGlNQ6uiS63g8MTAbPrhvmCIFO3.jpg,"[10749, 18]",824744,hi,शिद्दत,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",4.767,/7OMGLNH4yv4UxLI9gmKZSjY6enS.jpg,2021-10-01,Shiddat,False,7.6,11
False,/h2mMP0V8HSbVKYgCWZlhGRtL3aP.jpg,"[18, 36]",601337,hi,83,"On the 25th of June 1983, the Lord’s Cricket Ground witnessed one of the biggest underdog stories in the history of sports. Fourteen inspired players - led by a man's self-belief and conviction - fought against all odds and orchestrated India’s greatest sporting triumph by beating the two-time World Champions West Indies.",6.894,/6VOjtkT7RAH2J3L6X26PPosY9rj.jpg,2021-12-23,83,False,7,32
False,/lrE4Oed7CEDfYL61twc4Pe7kPsB.jpg,"[18, 10749]",802403,hi,Ajeeb Daastaans,An anthology of four stories that explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,6.639,/kVl9jjIgSsyO1cQGhx5Zz1RxPK3.jpg,2021-04-16,Ajeeb Daastaans,False,6.5,25
False,/AguDwIJdqUFEUXlmXyixotE0WnT.jpg,"[28, 18, 53, 10752]",599925,hi,शेरशाह,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",7.832,/zGvFnwoXJKrYnKhoVPytqkqCJ8V.jpg,2021-08-12,Shershaah,False,7.2,57
False,/ohBudODLg90h2R8jQf4DvfGjY4A.jpg,"[9648, 80, 53, 10749]",695969,hi,हसीन दिलरुबा,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",9.198,/aq1y0tqiH1ojIAQBbxZXFbArEAy.jpg,2021-07-02,Haseen Dillruba,False,6.5,53
False,/iKFpeM9xS5N0Yj5EGPqM6QFOnB2.jpg,"[18, 28]",784167,hi,द पावर,"It is a hair-raising journey into the world of two lovers as both their families are ripped apart for the sake of revenge and power, and an entertaining look at how they rise out of that pit of blood lust and despair, together.",3.946,/fkzTQZHgURaPSjEhCxgUJGmAvjN.jpg,2021-01-14,The Power,False,6.7,10
False,/aWoinUH9xn78YTiPp8NFubBtBvF.jpg,"[27, 53, 18]",886440,hi,Dybbuk,"Mahi, a newly married woman, brings an antique Jewish box into her home. When Mahi and her husband Sam begin to have paranormal experiences, they soon learn that the box is a dybbuk containing an evil spirit. The couple then seeks the help of a rabbi to unravel its mystery. Will they survive this ordeal before their child is born?",5.036,/sy0u4UEzMxrj7G79LMQWcuO15kt.jpg,2021-10-29,Dybbuk,False,5.8,10
False,/1kgtcEI8WotgxBR6N69tWhyzPBY.jpg,"[18, 10749]",862701,hi,अनकही कहानियाँ,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",4.083,/2B33UMfA8Yr79qP7g90eMSLggXm.jpg,2021-09-17,Ankahi Kahaniya,False,6.5,12
False,,[18],901562,hi,Andaman,Andaman is an inspirational social drama about a quarantine centre in an unprivileged village.,4.93,/z0wEkNi94Nl8iwPKMFmbnfjswi7.jpg,2021-11-20,Andaman,False,0,0
